Date,Bytes
2012-10-15,221808
2012-02-29,296668
2013-06-28,287332
2011-02-22,729077
2013-05-07,6356540
2008-12-28,224621
2013-07-22,3140731
2009-01-22,99746
2011-07-25,9389737
2013-03-03,738488
2013-02-22,453765
2008-09-24,68053
2010-08-17,114223
2010-04-12,3779667
2009-07-08,382665
2008-09-16,45921
2008-11-04,1155965
2013-06-28,398445
2008-07-30,82565
2008-11-05,213781
2013-01-09,217607
2011-07-05,81473
2012-07-15,168952
2008-09-15,325587
2008-07-30,301053
2013-01-15,305820
2008-09-10,127228
2010-03-19,96272
2010-06-18,439527
2009-04-07,123154
2012-10-02,316756
2008-08-08,67851
2009-04-16,115933
2009-10-07,152528
2013-01-29,265564
2013-07-23,592577
2009-01-19,232342
2009-08-26,80294
2009-06-21,115070
2008-09-29,196025
2008-10-04,48488
2008-12-07,106404
2008-12-07,234520
2010-09-13,168668
2011-01-07,268002
2008-07-18,255909
2010-10-10,774050
2013-06-19,2383692
2011-10-04,132329
2010-03-29,111988
2009-08-22,512278
2008-11-19,64782
2009-07-05,469215
2010-10-11,292240
2013-05-01,132480
2010-06-06,478171
2011-10-02,121634
2013-06-03,708627
2013-04-19,1307293
2011-01-18,148069
2009-06-18,352867
2011-09-14,329990
2009-09-15,193219
2013-07-20,408464
2009-12-16,409765
2011-02-15,488294
2008-08-08,75491
2008-09-09,118612
2013-01-10,690251
2012-07-04,709320
2012-03-28,804912
2013-07-18,143194
2008-07-31,151648
2008-12-16,307007
2010-01-26,149965
2013-01-23,1441385
2009-10-20,1024311
2012-12-15,116452
2013-03-24,94662
2013-07-17,560533
2010-06-20,162638
2013-07-22,189335
2013-07-22,558806
2008-08-27,69133
2013-04-11,910465
2013-07-22,354862
2013-07-22,216207
2009-06-24,478196
2013-07-22,256644
2011-10-13,292690
2008-09-22,159629
2008-11-11,181397
2011-06-10,324461
2009-10-27,115901
2009-06-24,168972
2009-03-22,311804
2012-05-14,248456
2009-06-09,408777
2011-03-02,412721
2009-12-18,179474
2008-08-20,227968
2009-06-16,926918
2012-02-03,509617
2009-03-01,163328
2008-10-26,255583
2012-12-20,110331
2011-08-30,460532
2008-08-04,131607
2012-11-22,223826
2008-10-03,73509
2013-06-13,1734866
2010-01-26,73627
2008-11-12,233149
2008-07-31,96016
2009-06-16,150501
2012-07-04,463077
2009-08-26,446714
2012-08-26,1111747
2013-01-18,380768
2012-03-11,158054
2012-05-06,21218
2011-07-28,316285
2013-06-28,288990
2013-05-31,330722
2010-01-09,287736
2010-02-09,1107368
2012-07-23,130828
2008-08-05,147476
2008-11-04,136348
2009-02-20,69391
2009-03-23,174371
2009-06-04,171529
2013-07-18,769196
2012-09-28,655200
2009-04-21,164224
2012-03-19,88209
2009-07-19,315991
2010-04-20,142610
2013-06-28,493765
2012-11-18,1209271
2013-06-10,7014649
2009-01-24,148497
2013-04-09,2246125
2009-07-22,110541
2008-11-19,82255
2012-02-13,125529
2010-01-30,62298
2009-02-19,180365
2008-08-04,104871
2009-12-29,542033
2008-11-15,106180
2013-06-28,522702
2009-08-07,731167
2009-10-10,84370
2010-05-03,150065
2013-03-23,655270
2012-03-18,216468
2008-12-22,933318
2009-12-08,160762
2011-08-01,109716
2011-09-23,108324
2013-02-03,525800
2009-03-04,90254
2008-10-28,83488
2010-04-17,658444
2013-06-05,241755
2013-07-25,1350377
2013-02-28,980244
2010-10-19,387251
2008-07-27,205749
2008-09-08,120885
2013-03-06,1158869
2013-07-23,1035493
2013-07-07,808464
2009-04-13,152062
2009-10-12,160322
2009-10-14,724532
2009-12-14,813295
2009-06-30,93125
2009-10-27,87958
2013-06-19,3487405
2009-03-09,250683
2011-09-27,1244495
2013-01-04,653902
2009-07-28,183973
2010-04-04,502597
2013-02-19,116165
2010-05-14,309860
2012-01-29,460366
2013-01-05,272862
2013-06-07,318856
2011-05-31,271409
2010-09-15,289053
2008-10-01,242478
2008-08-04,469214
2010-05-12,220746
2013-03-01,1482984
2013-01-13,1042941
2009-05-03,619626
2009-01-31,615886
2010-10-26,483573
2013-01-30,213729
2008-08-08,123445
2008-10-04,99151
2009-04-06,237623
2010-01-17,542179
2013-06-24,288180
2012-02-24,745883
2013-02-13,717359
2009-02-08,83184
2011-02-02,412435
2013-07-15,356330
2010-06-06,592105
2009-01-02,332207
2013-05-25,244211
2013-05-25,146243
2013-06-06,778989
2010-01-28,301526
2012-08-27,1223816
2009-03-09,249499
2013-07-11,1047084
2013-01-27,451318
2013-06-28,386294
2013-06-28,457158
2013-07-23,1292672
2012-02-19,957059
2008-10-04,443056
2011-02-26,752121
2008-10-28,113280
2013-07-09,346402
2009-01-23,129517
2009-03-20,149455
2013-01-20,1051545
2010-05-24,227355
2011-07-09,415683
2009-06-18,76321
2011-01-05,217048
2009-12-12,174446
2009-03-13,87508
2008-08-07,187602
2008-09-23,119812
2012-12-20,1662626
2009-08-23,616013
2012-05-27,333603
2009-11-17,273311
2012-11-26,1287052
2012-08-15,853896
2008-09-03,279726
2013-07-01,594888
2009-11-24,392141
2013-07-26,955833
2011-02-26,211399
2010-03-22,289621
2012-03-08,430946
2008-12-18,319718
2009-07-27,534100
2010-04-09,361030
2012-09-10,469987
2009-09-21,165537
2010-11-01,341191
2010-07-16,560682
2010-08-16,238368
2011-08-03,113013
2009-03-25,122329
2013-01-26,723077
2008-08-11,61977
2013-01-24,304538
2011-01-23,190691
2012-08-14,888927
2008-07-28,211698
2013-01-22,147915
2012-08-22,764657
2010-05-03,196002
2013-01-11,419283
2013-02-24,1165985
2013-01-29,278063
2009-09-06,174756
2011-02-10,431941
2012-09-25,47350
2012-09-25,50490
2009-05-13,204989
2013-07-11,199333
2010-06-27,208630
2012-10-14,286441
2012-03-01,375584
2013-07-18,2864066
2009-06-13,782496
2008-11-07,1954537
2010-04-08,171727
2009-05-08,194138
2011-07-12,93299
2013-07-20,755935
2010-08-30,413246
2009-05-07,116342
2009-07-16,1024500
2009-02-10,114011
2010-02-03,158433
2009-08-20,213499
2012-03-06,357707
2011-10-25,442074
2011-08-29,827612
2008-08-08,92053
2010-08-20,299226
2013-07-22,149157
2013-07-23,821205
2013-05-30,1072735
2009-05-18,581890
2008-09-04,836927
2010-09-08,120679
2009-06-16,368569
2013-02-07,757463
2010-03-15,170854
2012-03-15,114240
2013-03-14,3254120
2013-07-22,1907340
2013-03-21,698453
2013-01-26,914647
